ㄅㄧㄢˋ	弁
ㄅㄧㄢˋ	徧
ㄅㄧㄢˋ	忭
ㄅㄧㄢˋ	抃
ㄅㄧㄢˋ	揙
ㄅㄧㄢˋ	昪
ㄅㄧㄢˋ	汳
ㄅㄧㄢˋ	汴
ㄅㄧㄢˋ	犿
ㄅㄧㄢˋ	玣
ㄅㄧㄢˋ	緶
ㄅㄧㄢˋ	艑
ㄅㄧㄢˋ	苄
ㄅㄧㄢˋ	覍
ㄅㄧㄢˋ	變
ㄅㄧㄢˋ	辡
ㄅㄧㄢˋ	辧
ㄅㄧㄢˋ	辨
ㄅㄧㄢˋ	辮
ㄅㄧㄢˋ	辯
ㄅㄧㄢˋ	遍
ㄅㄧㄢˋ	釆
ㄅㄧㄢˋ	閞
ㄅㄧㄢˋ	鴘
ㄅㄧㄣ	*份
ㄅㄧㄣ	*嬪
ㄅㄧㄣ	*攽
ㄅㄧㄣ	*玢
ㄅㄧㄣ	*稟
ㄅㄧㄣ	*鬢
ㄅㄧㄣ	㻞
ㄅㄧㄣ	儐
ㄅㄧㄣ	娦
ㄅㄧㄣ	彬
ㄅㄧㄣ	斌
ㄅㄧㄣ	梹
ㄅㄧㄣ	椕
ㄅㄧㄣ	檳
ㄅㄧㄣ	殡
ㄅㄧㄣ	殯
ㄅㄧㄣ	汃
ㄅㄧㄣ	浜
ㄅㄧㄣ	滨
ㄅㄧㄣ	濱
ㄅㄧㄣ	濵
ㄅㄧㄣ	瀕
ㄅㄧㄣ	璸
ㄅㄧㄣ	砏
ㄅㄧㄣ	禀
ㄅㄧㄣ	穦
ㄅㄧㄣ	繽
ㄅㄧㄣ	虨
ㄅㄧㄣ	蠙
ㄅㄧㄣ	豩
ㄅㄧㄣ	豳
ㄅㄧㄣ	賓
ㄅㄧㄣ	賔
ㄅㄧㄣ	邠
ㄅㄧㄣ	郴
ㄅㄧㄣ	鑌
ㄅㄧㄣ	霦
ㄅㄧㄣ	顮
ㄅㄧㄣ	馪
ㄅㄧㄣ	驞
ㄅㄧㄣ	髩
ㄅㄧㄣ	鬂
ㄅㄧㄣ	𠚼
ㄅㄧㄣˇ	*稟
ㄅㄧㄣˇ	癛
ㄅㄧㄣˇ	禀
ㄅㄧㄣˋ	*賓
ㄅㄧㄣˋ	儐
ㄅㄧㄣˋ	擯
ㄅㄧㄣˋ	殡
ㄅㄧㄣˋ	殯
ㄅㄧㄣˋ	臏
ㄅㄧㄣˋ	賔
ㄅㄧㄣˋ	髕
ㄅㄧㄣˋ	髩
ㄅㄧㄣˋ	鬂
ㄅㄧㄣˋ	鬢
ㄅㄧㄣˋ	鶣
ㄅㄧㄥ	*屏
ㄅㄧㄥ	*檳
ㄅㄧㄥ	仌
ㄅㄧㄥ	兵
ㄅㄧㄥ	冰
ㄅㄧㄥ	屛
ㄅㄧㄥ	幈
ㄅㄧㄥ	并
ㄅㄧㄥ	幷
ㄅㄧㄥ	掤
ㄅㄧㄥ	栟
ㄅㄧㄥ	梹
ㄅㄧㄥ	氷
ㄅㄧㄥˇ	*屏
ㄅㄧㄥˇ	*芮
ㄅㄧㄥˇ	丙
ㄅㄧㄥˇ	屛
